item,condition,list,position_in_list,sentence,shape_top_1,shape_bottom_1,colour1_top_1,colour2_top_1,colour1_bottom_1,colour2_bottom_1,n_colour1_top_1,n_colour2_top_1,n_colour1_bottom_1,n_colour2_bottom_1,first_picture_label,second_picture_label,position_mentioned_object,zero,color1,color2,color3,color4,picture_type_A,picture_type_B,subexp,subset,correct_card,shape_top_2,shape_bottom_2,colour1_top_2,colour2_top_2,colour1_bottom_2,colour2_bottom_2,n_colour1_top_2,n_colour2_top_2,n_colour1_bottom_2,n_colour2_bottom_2
1,1,1,10,There is exactly one grey heart.,triangle,heart,orange,blue,grey,brown,0,4,1,3,121,122,top,yes,orange,blue,grey,brown,1,2,rainen,hom,First,triangle,heart,brown,orange,blue,grey,0,4,1,3
1,1,1,11,Fewer than three of the hearts are grey.,triangle,heart,orange,grey,brown,blue,0,4,2,2,123,5,bottom,yes,orange,blue,grey,brown,3,5,rainen,het,Second,better,,,,,,,,,
1,2,2,10,Exactly three hearts are grey and exactly one heart is blue.,triangle,heart,brown,orange,blue,grey,0,4,1,3,122,121,bottom,no,orange,blue,grey,brown,2,1,rainen,het,First,triangle,heart,orange,blue,grey,brown,0,4,1,3
1,2,2,11,Fewer than three of the triangles are brown.,triangle,heart,orange,grey,brown,blue,0,4,2,2,123,5,top,no,orange,blue,grey,brown,3,5,rainen,hom,Second,better,,,,,,,,,
2,1,3,10,There are exactly four orange triangles and exactly one blue heart.,triangle,heart,brown,orange,blue,grey,0,4,1,3,122,121,top,yes,orange,blue,grey,brown,2,1,rainen,hom,First,triangle,heart,orange,blue,grey,brown,0,4,1,3
2,1,3,11,Fewer than three of the hearts are brown.,triangle,heart,blue,brown,grey,orange,2,2,4,0,124,5,bottom,yes,orange,blue,grey,brown,4,5,rainen,hom,Second,better,,,,,,,,,
2,2,4,10,Exactly one heart is grey.,triangle,heart,orange,blue,grey,brown,0,4,1,3,121,122,bottom,no,orange,blue,grey,brown,1,2,rainen,het,First,triangle,heart,brown,orange,blue,grey,0,4,1,3
2,2,4,11,Fewer than three of the triangles are grey.,triangle,heart,blue,brown,grey,orange,2,2,4,0,124,5,top,no,orange,blue,grey,brown,4,5,rainen,het,Second,better,,,,,,,,,
4,2,1,20,Exactly three squares are blue and exactly one square is purple.,triangle,square,orange,black,purple,blue,0,4,1,3,341,342,bottom,no,orange,black,purple,blue,1,2,rainen,het,First,triangle,square,blue,orange,black,purple,0,4,1,3
4,2,1,21,Fewer than three of the triangles are purple.,triangle,square,black,blue,purple,orange,2,2,4,0,344,5,top,no,orange,black,purple,blue,4,5,rainen,het,Second,better,,,,,,,,,
3,1,2,20,There are exactly four black triangles.,triangle,square,orange,black,purple,blue,0,4,1,3,341,342,top,yes,orange,black,purple,blue,1,2,rainen,hom,First,triangle,square,blue,orange,black,purple,0,4,1,3
3,1,2,21,Fewer than three of the squares are purple.,triangle,square,orange,purple,blue,black,0,4,2,2,343,5,bottom,yes,orange,black,purple,blue,3,5,rainen,het,Second,better,,,,,,,,,
3,2,3,20,Exactly four triangles are orange and exactly three squares are purple.,triangle,square,blue,orange,black,purple,0,4,1,3,342,341,bottom,no,orange,black,purple,blue,2,1,rainen,het,First,triangle,square,orange,black,purple,blue,0,4,1,3
3,2,3,21,Fewer than three of the triangles are blue.,triangle,square,orange,purple,blue,black,0,4,2,2,343,5,top,no,orange,black,purple,blue,3,5,rainen,hom,Second,better,,,,,,,,,
4,1,4,20,There is exactly one black square and exactly four orange triangles.,triangle,square,blue,orange,black,purple,0,4,1,3,342,341,top,yes,orange,black,purple,blue,2,1,rainen,hom,First,triangle,square,orange,black,purple,blue,0,4,1,3
4,1,4,21,Fewer than three of the squares are blue.,triangle,square,black,blue,purple,orange,2,2,4,0,344,5,bottom,yes,orange,black,purple,blue,4,5,rainen,hom,Second,better,,,,,,,,,
6,1,1,30,There is exactly one green cross.,triangle,cross,yellow,brown,green,pink,0,4,1,3,562,561,top,yes,brown,green,pink,yellow,2,1,rainen,hom,First,triangle,cross,brown,green,pink,yellow,0,4,1,3
6,1,1,31,Fewer than three of the crosses are yellow.,triangle,cross,green,yellow,pink,brown,2,2,4,0,564,5,bottom,yes,brown,green,pink,yellow,4,5,rainen,hom,Second,better,,,,,,,,,
6,2,2,30,There is exactly one pink cross.,triangle,cross,brown,green,pink,yellow,0,4,1,3,561,562,bottom,no,brown,green,pink,yellow,1,2,rainen,het,First,triangle,cross,yellow,brown,green,pink,0,4,1,3
6,2,2,31,Fewer than three of the triangles are pink.,triangle,cross,green,yellow,pink,brown,2,2,4,0,564,5,top,no,brown,green,pink,yellow,4,5,rainen,het,Second,better,,,,,,,,,
5,1,3,30,Exactly three crosses are yellow and exactly one cross is pink.,triangle,cross,brown,green,pink,yellow,0,4,1,3,561,562,top,yes,brown,green,pink,yellow,1,2,rainen,hom,First,triangle,cross,yellow,brown,green,pink,0,4,1,3
5,1,3,31,Fewer than three of the crosses are pink.,triangle,cross,brown,pink,yellow,green,0,4,2,2,563,5,bottom,yes,brown,green,pink,yellow,3,5,rainen,het,Second,better,,,,,,,,,
5,2,4,30,There are exactly three pink crosses.,triangle,cross,yellow,brown,green,pink,0,4,1,3,562,561,bottom,no,brown,green,pink,yellow,2,1,rainen,het,First,triangle,cross,brown,green,pink,yellow,0,4,1,3
5,2,4,31,Fewer than three of the triangles are yellow.,triangle,cross,brown,pink,yellow,green,0,4,2,2,563,5,top,no,brown,green,pink,yellow,3,5,rainen,hom,Second,better,,,,,,,,,
7,2,1,40,There are exactly three purple triangles and exactly one grey triangle.,heart,triangle,turquoise,green,grey,purple,0,4,1,3,782,781,bottom,no,green,grey,purple,turquoise,2,1,rainen,het,First,heart,triangle,green,grey,purple,turquoise,0,4,1,3
7,2,1,41,Fewer than three of the hearts are turquoise.,heart,triangle,green,purple,turquoise,grey,0,4,2,2,783,5,top,no,green,grey,purple,turquoise,3,5,rainen,hom,Second,better,,,,,,,,,
8,1,2,40,Exactly one triangle is grey and exactly three triangles are purple.,heart,triangle,turquoise,green,grey,purple,0,4,1,3,782,781,top,yes,green,grey,purple,turquoise,2,1,rainen,hom,First,heart,triangle,green,grey,purple,turquoise,0,4,1,3
8,1,2,41,Fewer than three of the triangles are turquoise.,heart,triangle,grey,turquoise,purple,green,2,2,4,0,784,5,bottom,yes,green,grey,purple,turquoise,4,5,rainen,hom,Second,better,,,,,,,,,
8,2,3,40,There are exactly three turquoise triangles and exactly four grey hearts.,heart,triangle,green,grey,purple,turquoise,0,4,1,3,781,782,bottom,no,green,grey,purple,turquoise,1,2,rainen,het,First,heart,triangle,turquoise,green,grey,purple,0,4,1,3
8,2,3,41,Fewer than three of the hearts are purple.,heart,triangle,grey,turquoise,purple,green,2,2,4,0,784,5,top,no,green,grey,purple,turquoise,4,5,rainen,het,Second,better,,,,,,,,,
7,1,4,40,There are exactly three turquoise triangles.,heart,triangle,green,grey,purple,turquoise,0,4,1,3,781,782,top,yes,green,grey,purple,turquoise,1,2,rainen,hom,First,heart,triangle,turquoise,green,grey,purple,0,4,1,3
7,1,4,41,Fewer than three of the triangles are purple.,heart,triangle,green,purple,turquoise,grey,0,4,2,2,783,5,bottom,yes,green,grey,purple,turquoise,3,5,rainen,het,Second,better,,,,,,,,,
9,1,1,50,There is exactly one brown square and exactly four grey hearts.,heart,square,blue,grey,brown,orange,0,4,1,3,9101,9102,top,yes,blue,grey,brown,orange,1,2,rainen,hom,First,heart,square,orange,blue,grey,brown,0,4,1,3
