item,condition,list,position_in_list,sentence,shape_top_1,shape_bottom_1,colour1_top_1,colour2_top_1,colour1_bottom_1,colour2_bottom_1,n_colour1_top_1,n_colour2_top_1,n_colour1_bottom_1,n_colour2_bottom_1,first_picture_label,second_picture_label,position_mentioned_object,zero,color1,color2,color3,color4,picture_type_A,picture_type_B,shape_top_2,shape_bottom_2,colour1_top_2,colour2_top_2,colour1_bottom_2,colour2_bottom_2,n_colour1_top_2,n_colour2_top_2,n_colour1_bottom_2,n_colour2_bottom_2,correct_card
1,1,1,10,Each of the triangles is brown or blue.,triangle,heart,orange,blue,grey,brown,0,4,1,3,121,122,top,yes,orange,blue,grey,brown,1,2,triangle,heart,brown,orange,blue,grey,0,4,3,1,First
1,1,1,11,Fewer than three  of the hearts are grey.,triangle,heart,orange,grey,brown,blue,0,4,2,2,123,5,bottom,yes,orange,blue,grey,brown,3,5,better,,,,,,,,,,First
1,2,2,10,Each of the hearts is blue or grey.,triangle,heart,brown,orange,blue,grey,0,4,3,1,122,121,bottom,no,orange,blue,grey,brown,2,1,triangle,heart,orange,blue,grey,brown,0,4,1,3,First
1,2,2,11,Fewer than three  of the triangles are brown.,triangle,heart,orange,grey,brown,blue,0,4,2,2,123,5,top,no,orange,blue,grey,brown,3,5,better,,,,,,,,,,First
2,1,3,10,Each of the triangles is grey or orange.,triangle,heart,brown,orange,blue,grey,0,4,3,1,122,121,top,yes,orange,blue,grey,brown,2,1,triangle,heart,orange,blue,grey,brown,0,4,1,3,First
2,1,3,11,Fewer than three  of the hearts are brown.,triangle,heart,blue,brown,grey,orange,2,2,4,0,124,5,bottom,yes,orange,blue,grey,brown,4,5,better,,,,,,,,,,First
2,2,4,10,Each of the hearts is grey or brown.,triangle,heart,orange,blue,grey,brown,0,4,1,3,121,122,bottom,no,orange,blue,grey,brown,1,2,triangle,heart,brown,orange,blue,grey,0,4,3,1,First
2,2,4,11,Fewer than three  of the triangles are grey.,triangle,heart,blue,brown,grey,orange,2,2,4,0,124,5,top,no,orange,blue,grey,brown,4,5,better,,,,,,,,,,First
3,1,2,20,Each of the triangles is blue or black.,triangle,square,orange,black,purple,blue,0,4,1,3,341,342,top,yes,orange,black,purple,blue,1,2,triangle,square,blue,orange,black,purple,0,4,3,1,First
3,1,2,21,Fewer than three  of the squares are purple.,triangle,square,orange,purple,blue,black,0,4,2,2,343,5,bottom,yes,orange,black,purple,blue,3,5,better,,,,,,,,,,First
3,2,3,20,Each of the squares is black or purple.,triangle,square,blue,orange,black,purple,0,4,3,1,342,341,bottom,no,orange,black,purple,blue,2,1,triangle,square,orange,black,purple,blue,0,4,1,3,First
3,2,3,21,Fewer than three  of the triangles are blue.,triangle,square,orange,purple,blue,black,0,4,2,2,343,5,top,no,orange,black,purple,blue,3,5,better,,,,,,,,,,First
4,1,4,20,Each of the triangles is purple or orange.,triangle,square,blue,orange,black,purple,0,4,3,1,342,341,top,yes,orange,black,purple,blue,2,1,triangle,square,orange,black,purple,blue,0,4,1,3,First
4,1,4,21,Fewer than three  of the squares are blue.,triangle,square,black,blue,purple,orange,2,2,4,0,344,5,bottom,yes,orange,black,purple,blue,4,5,better,,,,,,,,,,First
4,2,1,20,Each of the squares is purple or blue.,triangle,square,orange,black,purple,blue,0,4,1,3,341,342,bottom,no,orange,black,purple,blue,1,2,triangle,square,blue,orange,black,purple,0,4,3,1,First
4,2,1,21,Fewer than three  of the triangles are purple.,triangle,square,black,blue,purple,orange,2,2,4,0,344,5,top,no,orange,black,purple,blue,4,5,better,,,,,,,,,,First
5,1,3,30,Each of the triangles is yellow or green.,triangle,cross,brown,green,pink,yellow,0,4,1,3,561,562,top,yes,brown,green,pink,yellow,1,2,triangle,cross,yellow,brown,green,pink,0,4,3,1,First
5,1,3,31,Fewer than three  of the crosses are pink.,triangle,cross,brown,pink,yellow,green,0,4,2,2,563,5,bottom,yes,brown,green,pink,yellow,3,5,better,,,,,,,,,,First
5,2,4,30,Each of the crosses is green or pink.,triangle,cross,yellow,brown,green,pink,0,4,3,1,562,561,bottom,no,brown,green,pink,yellow,2,1,triangle,cross,brown,green,pink,yellow,0,4,1,3,First
5,2,4,31,Fewer than three  of the triangles are yellow.,triangle,cross,brown,pink,yellow,green,0,4,2,2,563,5,top,no,brown,green,pink,yellow,3,5,better,,,,,,,,,,First
6,1,1,30,Each of the triangles is pink or brown.,triangle,cross,yellow,brown,green,pink,0,4,3,1,562,561,top,yes,brown,green,pink,yellow,2,1,triangle,cross,brown,green,pink,yellow,0,4,1,3,First
6,1,1,31,Fewer than three  of the crosses are yellow.,triangle,cross,green,yellow,pink,brown,2,2,4,0,564,5,bottom,yes,brown,green,pink,yellow,4,5,better,,,,,,,,,,First
6,2,2,30,Each of the crosses is pink or yellow.,triangle,cross,brown,green,pink,yellow,0,4,1,3,561,562,bottom,no,brown,green,pink,yellow,1,2,triangle,cross,yellow,brown,green,pink,0,4,3,1,First
6,2,2,31,Fewer than three  of the triangles are pink.,triangle,cross,green,yellow,pink,brown,2,2,4,0,564,5,top,no,brown,green,pink,yellow,4,5,better,,,,,,,,,,First
7,1,4,40,Each of the hearts is turquoise or grey.,heart,triangle,green,grey,purple,turquoise,0,4,1,3,781,782,top,yes,green,grey,purple,turquoise,1,2,heart,triangle,turquoise,green,grey,purple,0,4,3,1,First
7,1,4,41,Fewer than three  of the triangles are purple.,heart,triangle,green,purple,turquoise,grey,0,4,2,2,783,5,bottom,yes,green,grey,purple,turquoise,3,5,better,,,,,,,,,,First
7,2,1,40,Each of the triangles is grey or purple.,heart,triangle,turquoise,green,grey,purple,0,4,3,1,782,781,bottom,no,green,grey,purple,turquoise,2,1,heart,triangle,green,grey,purple,turquoise,0,4,1,3,First
7,2,1,41,Fewer than three  of the hearts are turquoise.,heart,triangle,green,purple,turquoise,grey,0,4,2,2,783,5,top,no,green,grey,purple,turquoise,3,5,better,,,,,,,,,,First
8,1,2,40,Each of the hearts is purple or green.,heart,triangle,turquoise,green,grey,purple,0,4,3,1,782,781,top,yes,green,grey,purple,turquoise,2,1,heart,triangle,green,grey,purple,turquoise,0,4,1,3,First
8,1,2,41,Fewer than three  of the triangles are turquoise.,heart,triangle,grey,turquoise,purple,green,2,2,4,0,784,5,bottom,yes,green,grey,purple,turquoise,4,5,better,,,,,,,,,,First
8,2,3,40,Each of the triangles is purple or turquoise.,heart,triangle,green,grey,purple,turquoise,0,4,1,3,781,782,bottom,no,green,grey,purple,turquoise,1,2,heart,triangle,turquoise,green,grey,purple,0,4,3,1,First
