item,condition,list,position_in_list,sentence,shape_top_1,shape_bottom_1,colour1_top_1,colour2_top_1,colour1_bottom_1,colour2_bottom_1,n_colour1_top_1,n_colour2_top_1,n_colour1_bottom_1,n_colour2_bottom_1,first_picture_label,second_picture_label,position_mentioned_object,zero,color1,color2,color3,color4,picture_type_A,picture_type_B,shape_top_2,shape_bottom_2,colour1_top_2,colour2_top_2,colour1_bottom_2,colour2_bottom_2,n_colour1_top_2,n_colour2_top_2,n_colour1_bottom_2,n_colour2_bottom_2,correct_card
1010,11,1000,5,There are exactly four green triangles.,triangle,circle,brown,green,pink,green,0,4,1,3,1121,1122,top,yes,orange,blue,black,purple,1,2,triangle,circle,brown,pink,pink,green,0,4,3,1,First
1010,11,1000,6,Exactly one circle is green.,triangle,circle,brown,pink,pink,green,0,4,3,1,1122,1121,bottom,yes,orange,blue,black,purple,3,5,triangle,circle,brown,green,pink,green,0,4,1,3,First
1010,11,1000,7,There are between two and four green circles.,triangle,circle,brown,green,pink,green,0,4,1,3,1121,1122,bottom,no,orange,blue,black,purple,2,1,triangle,circle,brown,pink,pink,green,0,4,3,1,First
1010,11,1000,15,There are between two and four pink triangles,triangle,circle,brown,pink,pink,green,0,4,3,1,1122,1121,top,no,orange,blue,black,purple,3,5,triangle,circle,brown,green,pink,green,0,4,1,3,First
1010,11,1000,16,There are neither exactly two green triangles nor exactly three green circles.,triangle,circle,brown,pink,pink,green,0,4,3,1,1122,1121,both,yes,orange,blue,black,purple,2,1,triangle,circle,brown,green,pink,green,0,4,1,3,First
1010,11,1000,17,There are neither exactly two green triangles nor exactly three pink circles.,triangle,circle,brown,green,pink,green,0,4,1,3,1121,1122,both,yes,orange,blue,black,purple,4,5,triangle,circle,brown,pink,pink,green,0,4,3,1,First
1010,12,1000,25,Exactly three circles are pink.,triangle,circle,brown,green,pink,green,0,4,1,3,1121,5,bottom,no,orange,blue,black,purple,1,2,better,,,,,,,,,,Second
1010,12,1000,26,Exactly Half of the triangles are pink.,triangle,circle,brown,green,pink,green,0,4,1,3,1121,5,top,no,orange,blue,black,purple,4,5,better,,,,,,,,,,Second
1010,12,1000,27,Exactly Half of the triangles are green.,triangle,circle,brown,pink,pink,green,0,4,3,1,1122,5,top,yes,orange,black,purple,blue,1,2,better,,,,,,,,,,Second
1010,13,1000,35,Exactly three circles are pink.,triangle,circle,brown,pink,pink,green,0,4,3,1,1122,5,bottom,yes,orange,black,purple,blue,3,5,better,,,,,,,,,,First
1010,13,1000,36,There are seven green shapes.,triangle,circle,brown,green,pink,green,0,4,1,3,1121,5,both,no,orange,black,purple,blue,2,1,better,,,,,,,,,,First
1010,13,1000,37,There is exactly one green shape.,triangle,circle,brown,pink,pink,green,0,4,3,1,1122,5,both,no,orange,black,purple,blue,3,5,better,,,,,,,,,,First
1020,11,1000,45,There are exactly two brown hearts.,heart,cross,brown,green,brown,green,2,2,1,3,1123,1124,top,yes,orange,black,purple,blue,2,1,heart,cross,brown,green,brown,green,1,3,2,2,First
